名次,隊伍名稱,目前總分
1,三杯波波隊,0.973550642515136
2,歐肯,0.9721843769642936
3,來玩AI,0.9709181901217723
4,舊產業中央,0.9698484967511538
5,AI yodass,0.969672986789139
6,浪費三十分鐘取名字,0.9681109421831516
7,What You See Is What You Get,0.9638881238581776
8,Unicode Studio,0.959773285699629
9,VIPLAB,0.9593572919149435
10,我們的興趣好分散,0.9560134156946114
11,DeepBlueShark,0.9533030359954714
12,SSW,0.9490252050851687
13,AIA7,0.9464699219504051
14,Fintech101_Transformer,0.9437439652074027
15,LeeTung,0.9432853475263278
16,真D難,0.9431097210254548
17,三九五二,0.9418985424150713
18,上班沒刷卡,0.9406982758511531
19,摸鼠小隊,0.9391156586549883
20,StarRingChild,0.9385960252440776
21,Big Brother,0.931212658238997
22,888,0.9308606282090728
23,MLHW16,0.9260058183876286
24,三山科技,0.920478624641234
25,team1,0.9185942201784368
26,展祐浴室拖鞋,0.918541541779259
27,ownjohn,0.9177940071129878
28,nlp_lab,0.9114401722654856
29,62159-33,0.9073491592582176
30,Brainchild,0.9040270936852923
31,HyperUsagi,0.9008150408269305
32,AlexHsieh Vs JasonYang,0.8990114856718506
33,Triceratops,0.8972167234491509
34,chewyyummyyams,0.8971185644544
35,我要成為ML大師,0.8969120769471479
36,不能好好寫字嗎,0.8958251069964834
37,時空旋渦旅人,0.8943862327561761
38,Robust,0.8924929610569693
39,Norwegian Wood,0.8924686292208435
40,MTB2021,0.8881529467510145
41,烜智宏斐毅,0.8840136576463138
42,爺爺泡的茶,0.8839953090993353
43,大數軟體,0.8825182216535069
44,BlackboxOperator,0.8760912221322882
45,巧克力牛奶好好喝,0.8727833496197189
46,LiteralStarT,0.8695880431480054
47,羅密歐與傅立葉,0.8690325816135912
48,啊我就怕被罵,0.8660637491903868
49,BlaBlaBla,0.85250341954766
50,AS,0.8499888307565354
51,路上遇到組一隊,0.8499483855408393
52,角落畫圈圈,0.8349179840564318
53,快樂工作之下班train model,0.8151130893635076
54,zh_jay,0.8093328724493883
55,isayama,0.8089732199138782
56,親魏隊,0.8018709078142194
57,路上行走的魚,0.8016692332556156
58,雪山飛狐,0.8011496641423438
59,秩序守護者的部下們,0.7995392205935415
60,AI大鳳梨,0.7978417068220316
61,像極了AI情,0.7923669085401117
62,NTU fintech master,0.7828920198281917
63,農藝碼農,0.7787332697922374
64,跑得比狗還要快,0.7767990337380652
65,朋朋與丁滿,0.7662007873602369
66,忠孝東路走6辨,0.7291823151745627
67,我就文盲,0.7286748379277366
68,這裡有沒有第五個章魚哥,0.7185218821410095
69,志在參加一＿一,0.7184877798310433
70,我來識識,0.7153073636206758
71,李宅,0.7088825902799982
72,玉山工人智慧,0.6691184083636884
73,Fintech group X,0.665624613868302
74,文盲,0.6370983628364233
75,NL,0.6111309933290958
76,中國信託商業銀行 ChinaTrust Commercial Bank - 謹慎理財 信用至上,0.608328538529869
77,你也想下班對不隊,0.601830246681461
78,花旗掰掰,0.5974680831486598
79,AGAI賦智行雲科技 工人智慧玩家,0.5930801543908092
80,Richard Card,0.4850496285266619
81,BJ4,0.39203855924170566
82,NTU0,0.37324508366359027
83,小菜雞,0.028133544086322456
84,高清世平,0.01969298481766421
85,NCKU Deep Learning,0.013830303436405735
86,korone,0.0024389543593328674
87,尋章摘句,0.0012401876229654193
88,玉山原本是座山,0.0001989355957426185
89,變形金剛,1.027677351717673e-05
90,蜆仔的朋友,3.922407645129083e-06
90,BigPikachu,3.922407645129083e-06
90,trytry看ㄅ,3.922407645129083e-06
93,童蒙認字,0.0
93,Matchmaker,0.0
93,Refresher,0.0
93,henris,0.0
93,海鮮部隊鍋,0.0
93,NDHUISL-ian,0.0
93,這名字我想的,0.0
93,台北直直撞,0.0
93,好想吃麥當勞,0.0
93,想不到隊名,0.0
93,阿姆斯特朗旋風大砲,0.0
93,anywheredoorlab,0.0
93,Funny Seals,0.0
93,pui pui,0.0
93,大叔識字,0.0
93,2017LIPc,0.0
93,NCKU_Financial_Predictive_Analytics_Lab,0.0
93,CAE09,0.0
93,QAQ,0.0
93,Kernel Died,0.0
93,SYZ,0.0
93,Edsu,0.0
93,Hahaha,0.0
93,PlusMinus,0.0
93,布布恰恰,0.0
93,Transformer,0.0
93,玉飯糰戰隊,0.0
93,一閃一閃亮晶晶,0.0
93,Handwithjob,0.0
93,手跡辨識,0.0
93,Bestline,0.0
